state,state_display,date,year,month_number,month,division,division_order,division_name,division_label,division_scope,inflation_yoy,inflation_mom,pressure_group
Sarawak,Sarawak,2011-01-01,2011,1,January,03,3,Clothing and footwear,Clothing and footwear,Other Consumer Price Index divisions,-1.7,1.1,Deflation or price easing
Sarawak,Sarawak,2011-01-01,2011,1,January,04,4,"Housing, water, electricity, gas and other fuels",Housing and utilities,Other Consumer Price Index divisions,2.5,-0.1,Moderate pressure
Sarawak,Sarawak,2011-01-01,2011,1,January,05,5,"Furnishings, household equipment and routine household maintenance",Household equipment and maintenance,Other Consumer Price Index divisions,1.0,0.7,Moderate pressure
Sarawak,Sarawak,2011-01-01,2011,1,January,06,6,Health,Health,Other Consumer Price Index divisions,2.7,0.5,Moderate pressure
Sarawak,Sarawak,2011-01-01,2011,1,January,07,7,Transport,Transport,Other Consumer Price Index divisions,4.5,0.6,Moderate pressure
Sarawak,Sarawak,2011-01-01,2011,1,January,08,8,Information and communication,Information and communication,Other Consumer Price Index divisions,0.5,0.1,Moderate pressure
Sarawak,Sarawak,2011-01-01,2011,1,January,09,9,"Recreation, sport and culture","Recreation, sport and culture",Other Consumer Price Index divisions,-1.4,0.1,Deflation or price easing
Sarawak,Sarawak,2011-01-01,2011,1,January,10,10,Education,Education,Other Consumer Price Index divisions,-1.7,-3.1,Deflation or price easing
Sarawak,Sarawak,2011-01-01,2011,1,January,11,11,Restaurants and accommodation services,Restaurants and accommodation services,Food-related pressure channels,1.4,0.5,Moderate pressure
Sarawak,Sarawak,2011-01-01,2011,1,January,12,12,Insurance and financial services,Insurance and financial services,Other Consumer Price Index divisions,0.0,0.0,Moderate pressure
Sarawak,Sarawak,2011-01-01,2011,1,January,13,13,"Personal care, social protection and miscellaneous goods and services",Personal care and miscellaneous services,Other Consumer Price Index divisions,0.5,-0.2,Moderate pressure
Selangor,Selangor,2011-01-01,2011,1,January,01,1,Food and non-alcoholic beverages,Food and non-alcoholic beverages,Food-related pressure channels,3.3,1.1,Moderate pressure
Selangor,Selangor,2011-01-01,2011,1,January,02,2,Alcoholic beverages and tobacco,Alcoholic beverages and tobacco,Other Consumer Price Index divisions,6.3,0.0,High pressure
Selangor,Selangor,2011-01-01,2011,1,January,03,3,Clothing and footwear,Clothing and footwear,Other Consumer Price Index divisions,0.5,2.3,Moderate pressure
Selangor,Selangor,2011-01-01,2011,1,January,04,4,"Housing, water, electricity, gas and other fuels",Housing and utilities,Other Consumer Price Index divisions,1.1,0.0,Moderate pressure
Selangor,Selangor,2011-01-01,2011,1,January,05,5,"Furnishings, household equipment and routine household maintenance",Household equipment and maintenance,Other Consumer Price Index divisions,2.8,2.7,Moderate pressure
Selangor,Selangor,2011-01-01,2011,1,January,06,6,Health,Health,Other Consumer Price Index divisions,2.6,1.2,Moderate pressure
Selangor,Selangor,2011-01-01,2011,1,January,07,7,Transport,Transport,Other Consumer Price Index divisions,5.0,0.5,High pressure
Selangor,Selangor,2011-01-01,2011,1,January,08,8,Information and communication,Information and communication,Other Consumer Price Index divisions,-0.3,0.0,Deflation or price easing
Selangor,Selangor,2011-01-01,2011,1,January,09,9,"Recreation, sport and culture","Recreation, sport and culture",Other Consumer Price Index divisions,-0.2,0.0,Deflation or price easing
Selangor,Selangor,2011-01-01,2011,1,January,10,10,Education,Education,Other Consumer Price Index divisions,1.6,1.2,Moderate pressure
Selangor,Selangor,2011-01-01,2011,1,January,11,11,Restaurants and accommodation services,Restaurants and accommodation services,Food-related pressure channels,5.9,1.8,High pressure
Selangor,Selangor,2011-01-01,2011,1,January,12,12,Insurance and financial services,Insurance and financial services,Other Consumer Price Index divisions,-0.4,-0.4,Deflation or price easing
Selangor,Selangor,2011-01-01,2011,1,January,13,13,"Personal care, social protection and miscellaneous goods and services",Personal care and miscellaneous services,Other Consumer Price Index divisions,1.0,0.0,Moderate pressure
Terengganu,Terengganu,2011-01-01,2011,1,January,01,1,Food and non-alcoholic beverages,Food and non-alcoholic beverages,Food-related pressure channels,4.7,1.5,Moderate pressure
Terengganu,Terengganu,2011-01-01,2011,1,January,02,2,Alcoholic beverages and tobacco,Alcoholic beverages and tobacco,Other Consumer Price Index divisions,7.3,0.0,High pressure
Terengganu,Terengganu,2011-01-01,2011,1,January,03,3,Clothing and footwear,Clothing and footwear,Other Consumer Price Index divisions,-0.9,1.2,Deflation or price easing
Terengganu,Terengganu,2011-01-01,2011,1,January,04,4,"Housing, water, electricity, gas and other fuels",Housing and utilities,Other Consumer Price Index divisions,2.4,0.0,Moderate pressure
Terengganu,Terengganu,2011-01-01,2011,1,January,05,5,"Furnishings, household equipment and routine household maintenance",Household equipment and maintenance,Other Consumer Price Index divisions,0.2,0.6,Moderate pressure
Terengganu,Terengganu,2011-01-01,2011,1,January,06,6,Health,Health,Other Consumer Price Index divisions,1.9,0.1,Moderate pressure
Terengganu,Terengganu,2011-01-01,2011,1,January,07,7,Transport,Transport,Other Consumer Price Index divisions,3.6,-0.1,Moderate pressure
Terengganu,Terengganu,2011-01-01,2011,1,January,08,8,Information and communication,Information and communication,Other Consumer Price Index divisions,-1.1,-0.4,Deflation or price easing
Terengganu,Terengganu,2011-01-01,2011,1,January,09,9,"Recreation, sport and culture","Recreation, sport and culture",Other Consumer Price Index divisions,-0.6,-0.2,Deflation or price easing
Terengganu,Terengganu,2011-01-01,2011,1,January,10,10,Education,Education,Other Consumer Price Index divisions,0.2,0.0,Moderate pressure
Terengganu,Terengganu,2011-01-01,2011,1,January,11,11,Restaurants and accommodation services,Restaurants and accommodation services,Food-related pressure channels,3.1,1.6,Moderate pressure
Terengganu,Terengganu,2011-01-01,2011,1,January,12,12,Insurance and financial services,Insurance and financial services,Other Consumer Price Index divisions,-0.2,-0.2,Deflation or price easing
Terengganu,Terengganu,2011-01-01,2011,1,January,13,13,"Personal care, social protection and miscellaneous goods and services",Personal care and miscellaneous services,Other Consumer Price Index divisions,1.7,0.0,Moderate pressure
Johor,Johor,2011-02-01,2011,2,February,01,1,Food and non-alcoholic beverages,Food and non-alcoholic beverages,Food-related pressure channels,5.3,1.6,High pressure
Johor,Johor,2011-02-01,2011,2,February,02,2,Alcoholic beverages and tobacco,Alcoholic beverages and tobacco,Other Consumer Price Index divisions,6.5,0.0,High pressure
Johor,Johor,2011-02-01,2011,2,February,03,3,Clothing and footwear,Clothing and footwear,Other Consumer Price Index divisions,-1.1,0.2,Deflation or price easing
Johor,Johor,2011-02-01,2011,2,February,04,4,"Housing, water, electricity, gas and other fuels",Housing and utilities,Other Consumer Price Index divisions,1.4,0.5,Moderate pressure
Johor,Johor,2011-02-01,2011,2,February,05,5,"Furnishings, household equipment and routine household maintenance",Household equipment and maintenance,Other Consumer Price Index divisions,1.1,0.0,Moderate pressure
Johor,Johor,2011-02-01,2011,2,February,06,6,Health,Health,Other Consumer Price Index divisions,1.9,0.2,Moderate pressure
Johor,Johor,2011-02-01,2011,2,February,07,7,Transport,Transport,Other Consumer Price Index divisions,4.6,0.3,Moderate pressure
Johor,Johor,2011-02-01,2011,2,February,08,8,Information and communication,Information and communication,Other Consumer Price Index divisions,-0.2,0.0,Deflation or price easing
Johor,Johor,2011-02-01,2011,2,February,09,9,"Recreation, sport and culture","Recreation, sport and culture",Other Consumer Price Index divisions,0.3,0.8,Moderate pressure
Johor,Johor,2011-02-01,2011,2,February,10,10,Education,Education,Other Consumer Price Index divisions,1.1,0.0,Moderate pressure
Johor,Johor,2011-02-01,2011,2,February,11,11,Restaurants and accommodation services,Restaurants and accommodation services,Food-related pressure channels,3.7,0.9,Moderate pressure
Johor,Johor,2011-02-01,2011,2,February,12,12,Insurance and financial services,Insurance and financial services,Other Consumer Price Index divisions,0.5,0.0,Moderate pressure
Johor,Johor,2011-02-01,2011,2,February,13,13,"Personal care, social protection and miscellaneous goods and services",Personal care and miscellaneous services,Other Consumer Price Index divisions,1.5,0.4,Moderate pressure
Kedah,Kedah,2011-02-01,2011,2,February,01,1,Food and non-alcoholic beverages,Food and non-alcoholic beverages,Food-related pressure channels,3.7,0.7,Moderate pressure
Kedah,Kedah,2011-02-01,2011,2,February,02,2,Alcoholic beverages and tobacco,Alcoholic beverages and tobacco,Other Consumer Price Index divisions,6.1,-0.1,High pressure
Kedah,Kedah,2011-02-01,2011,2,February,03,3,Clothing and footwear,Clothing and footwear,Other Consumer Price Index divisions,-1.4,0.1,Deflation or price easing
Kedah,Kedah,2011-02-01,2011,2,February,04,4,"Housing, water, electricity, gas and other fuels",Housing and utilities,Other Consumer Price Index divisions,3.0,0.8,Moderate pressure
Kedah,Kedah,2011-02-01,2011,2,February,05,5,"Furnishings, household equipment and routine household maintenance",Household equipment and maintenance,Other Consumer Price Index divisions,0.3,0.0,Moderate pressure
Kedah,Kedah,2011-02-01,2011,2,February,06,6,Health,Health,Other Consumer Price Index divisions,1.7,0.3,Moderate pressure
Kedah,Kedah,2011-02-01,2011,2,February,07,7,Transport,Transport,Other Consumer Price Index divisions,3.9,0.2,Moderate pressure
Kedah,Kedah,2011-02-01,2011,2,February,08,8,Information and communication,Information and communication,Other Consumer Price Index divisions,-0.4,-0.1,Deflation or price easing
Kedah,Kedah,2011-02-01,2011,2,February,09,9,"Recreation, sport and culture","Recreation, sport and culture",Other Consumer Price Index divisions,1.5,1.6,Moderate pressure
Kedah,Kedah,2011-02-01,2011,2,February,10,10,Education,Education,Other Consumer Price Index divisions,-1.3,0.0,Deflation or price easing
Kedah,Kedah,2011-02-01,2011,2,February,11,11,Restaurants and accommodation services,Restaurants and accommodation services,Food-related pressure channels,7.0,1.8,High pressure
Kedah,Kedah,2011-02-01,2011,2,February,12,12,Insurance and financial services,Insurance and financial services,Other Consumer Price Index divisions,0.1,0.0,Moderate pressure
Kedah,Kedah,2011-02-01,2011,2,February,13,13,"Personal care, social protection and miscellaneous goods and services",Personal care and miscellaneous services,Other Consumer Price Index divisions,1.5,-0.2,Moderate pressure
Kelantan,Kelantan,2011-02-01,2011,2,February,01,1,Food and non-alcoholic beverages,Food and non-alcoholic beverages,Food-related pressure channels,5.5,0.3,High pressure
Kelantan,Kelantan,2011-02-01,2011,2,February,02,2,Alcoholic beverages and tobacco,Alcoholic beverages and tobacco,Other Consumer Price Index divisions,7.4,0.0,High pressure
Kelantan,Kelantan,2011-02-01,2011,2,February,03,3,Clothing and footwear,Clothing and footwear,Other Consumer Price Index divisions,-0.2,-0.6,Deflation or price easing
Kelantan,Kelantan,2011-02-01,2011,2,February,04,4,"Housing, water, electricity, gas and other fuels",Housing and utilities,Other Consumer Price Index divisions,2.0,0.2,Moderate pressure
Kelantan,Kelantan,2011-02-01,2011,2,February,05,5,"Furnishings, household equipment and routine household maintenance",Household equipment and maintenance,Other Consumer Price Index divisions,-0.1,-0.5,Deflation or price easing
Kelantan,Kelantan,2011-02-01,2011,2,February,06,6,Health,Health,Other Consumer Price Index divisions,2.1,0.1,Moderate pressure
Kelantan,Kelantan,2011-02-01,2011,2,February,07,7,Transport,Transport,Other Consumer Price Index divisions,4.4,0.5,Moderate pressure
Kelantan,Kelantan,2011-02-01,2011,2,February,08,8,Information and communication,Information and communication,Other Consumer Price Index divisions,1.0,0.1,Moderate pressure
Kelantan,Kelantan,2011-02-01,2011,2,February,09,9,"Recreation, sport and culture","Recreation, sport and culture",Other Consumer Price Index divisions,0.0,0.0,Moderate pressure
Kelantan,Kelantan,2011-02-01,2011,2,February,10,10,Education,Education,Other Consumer Price Index divisions,3.7,0.4,Moderate pressure
Kelantan,Kelantan,2011-02-01,2011,2,February,11,11,Restaurants and accommodation services,Restaurants and accommodation services,Food-related pressure channels,3.6,0.4,Moderate pressure
Kelantan,Kelantan,2011-02-01,2011,2,February,12,12,Insurance and financial services,Insurance and financial services,Other Consumer Price Index divisions,-0.2,0.0,Deflation or price easing
Kelantan,Kelantan,2011-02-01,2011,2,February,13,13,"Personal care, social protection and miscellaneous goods and services",Personal care and miscellaneous services,Other Consumer Price Index divisions,2.1,-0.3,Moderate pressure
W.P. Kuala Lumpur,Kuala Lumpur,2011-02-01,2011,2,February,01,1,Food and non-alcoholic beverages,Food and non-alcoholic beverages,Food-related pressure channels,3.9,0.7,Moderate pressure
W.P. Kuala Lumpur,Kuala Lumpur,2011-02-01,2011,2,February,02,2,Alcoholic beverages and tobacco,Alcoholic beverages and tobacco,Other Consumer Price Index divisions,6.1,0.2,High pressure
W.P. Kuala Lumpur,Kuala Lumpur,2011-02-01,2011,2,February,03,3,Clothing and footwear,Clothing and footwear,Other Consumer Price Index divisions,1.0,-0.2,Moderate pressure
W.P. Kuala Lumpur,Kuala Lumpur,2011-02-01,2011,2,February,04,4,"Housing, water, electricity, gas and other fuels",Housing and utilities,Other Consumer Price Index divisions,1.0,0.2,Moderate pressure
W.P. Kuala Lumpur,Kuala Lumpur,2011-02-01,2011,2,February,05,5,"Furnishings, household equipment and routine household maintenance",Household equipment and maintenance,Other Consumer Price Index divisions,0.7,-0.2,Moderate pressure
W.P. Kuala Lumpur,Kuala Lumpur,2011-02-01,2011,2,February,06,6,Health,Health,Other Consumer Price Index divisions,3.5,0.2,Moderate pressure
W.P. Kuala Lumpur,Kuala Lumpur,2011-02-01,2011,2,February,07,7,Transport,Transport,Other Consumer Price Index divisions,5.4,0.6,High pressure
W.P. Kuala Lumpur,Kuala Lumpur,2011-02-01,2011,2,February,08,8,Information and communication,Information and communication,Other Consumer Price Index divisions,-1.2,0.0,Deflation or price easing
W.P. Kuala Lumpur,Kuala Lumpur,2011-02-01,2011,2,February,09,9,"Recreation, sport and culture","Recreation, sport and culture",Other Consumer Price Index divisions,0.0,0.5,Moderate pressure
W.P. Kuala Lumpur,Kuala Lumpur,2011-02-01,2011,2,February,10,10,Education,Education,Other Consumer Price Index divisions,6.2,0.0,High pressure
W.P. Kuala Lumpur,Kuala Lumpur,2011-02-01,2011,2,February,11,11,Restaurants and accommodation services,Restaurants and accommodation services,Food-related pressure channels,5.5,1.2,High pressure
W.P. Kuala Lumpur,Kuala Lumpur,2011-02-01,2011,2,February,12,12,Insurance and financial services,Insurance and financial services,Other Consumer Price Index divisions,0.0,0.0,Moderate pressure
